Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:44:18,0.00 , 0.00 , 0.00,51.34
2023-05-01 23:44:20,0.00 , 0.00 , 0.00,50.61
2023-05-01 23:44:22,0.00 , 0.00 , 0.00,49.87
2023-05-01 23:44:24,0.00 , 844.00 , 80.00,52.45
2023-05-01 23:44:26,0.00 , 10.00 , 0.00,51.66
2023-05-01 23:44:28,0.00 , 0.00 , 0.00,57.61
2023-05-01 23:44:30,0.00 , 0.00 , 0.00,53.44
2023-05-01 23:44:32,0.00 , 0.00 , 0.00,52.86
2023-05-01 23:44:34,0.00 , 0.00 , 0.00,54.11
2023-05-01 23:44:36,0.00 , 9.00 , 0.00,52.34
2023-05-01 23:44:38,0.00 , 0.00 , 0.00,50.32
2023-05-01 23:44:40,0.00 , 0.00 , 0.00,48.14
2023-05-01 23:44:42,0.00 , 0.00 , 0.00,51.37
2023-05-01 23:44:44,0.00 , 0.00 , 0.00,53.9
2023-05-01 23:44:46,0.00 , 10.00 , 0.00,52.77
2023-05-01 23:44:48,0.00 , 0.00 , 0.00,48.21
2023-05-01 23:44:50,0.00 , 0.00 , 0.00,49.27
2023-05-01 23:44:52,0.00 , 0.00 , 0.00,56.24
2023-05-01 23:44:54,0.00 , 0.00 , 0.00,54.29
2023-05-01 23:44:56,0.00 , 660.00 , 76.40,60.69
2023-05-01 23:44:58,0.00 , 0.00 , 0.00,52.98
2023-05-01 23:45:00,0.00 , 0.00 , 0.00,51.43
2023-05-01 23:45:02,0.00 , 1.00 , 0.00,55.49
2023-05-01 23:45:04,0.00 , 0.00 , 0.00,49.14
2023-05-01 23:45:06,0.00 , 9.00 , 0.00,47.59
2023-05-01 23:45:08,0.00 , 0.00 , 0.00,50.38
2023-05-01 23:45:10,0.00 , 0.00 , 0.00,50.35
2023-05-01 23:45:12,0.00 , 0.00 , 0.00,47.95
2023-05-01 23:45:14,0.00 , 0.00 , 0.00,54.94
2023-05-01 23:45:16,0.00 , 9.00 , 0.00,51.45
2023-05-01 23:45:18,0.00 , 11.00 , 0.00,51.53
2023-05-01 23:45:20,0.00 , 0.00 , 0.00,48.4
2023-05-01 23:45:22,0.00 , 0.00 , 0.00,47.86
2023-05-01 23:45:24,0.00 , 0.00 , 0.00,54.3
2023-05-01 23:45:27,0.00 , 10.00 , 0.00,53.2
2023-05-01 23:45:29,0.00 , 694.00 , 55.20,55.81
2023-05-01 23:45:31,0.00 , 0.00 , 0.00,54.94
2023-05-01 23:45:33,0.00 , 0.00 , 0.00,46.86
2023-05-01 23:45:35,0.00 , 2.00 , 0.00,49.05
2023-05-01 23:45:37,0.00 , 9.00 , 0.00,56.62
2023-05-01 23:45:39,0.00 , 0.00 , 0.00,50.67
2023-05-01 23:45:41,0.00 , 224.00 , 18.40,8.82
2023-05-01 23:45:43,0.00 , 20.00 , 0.80,3.07
2023-05-01 23:45:45,0.00 , 0.00 , 0.00,3.69
2023-05-01 23:45:47,0.00 , 7.00 , 0.00,4.38
2023-05-01 23:45:49,0.00 , 0.00 , 0.00,3.88
